Year,Month,Category,Rank,Title,Author,Publisher,PubDate,Price,Rating,ReviewCount,SalesIndex,BookURL
2025,12,국내도서 전체,1,프로젝트 헤일메리,앤디 위어  저/ 강동혁  역,알에이치코리아(RHK),2026년 02월,"19,800원",9.7,1156,655119,https://www.yes24.com/product/goods/101375755
2025,12,국내도서 전체,2,흔한남매 22,흔한남매  원저/ 백난도  글/ 유난희  그림/ 흔한컴퍼니  감수,미래엔아이세움,2026년 04월,"15,120원",9.4,88,209625,https://www.yes24.com/product/goods/187927810
2025,12,국내도서 전체,3,안녕이라 그랬어,김애란  저,문학동네,2025년 06월,"15,120원",9.6,495,559926,https://www.yes24.com/product/goods/147560984
2025,12,국내도서 전체,4,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성  저,이투스북,2025년 12월,"19,800원",9.9,78,319287,https://www.yes24.com/product/goods/168393009
2025,12,국내도서 전체,5,니체의 초월자,프리드리히 니체  저/ 김철  편역,히읏,2025년 10월,"15,210원",9.8,62,281919,https://www.yes24.com/product/goods/161401496
2025,12,국내도서 전체,6,인생을 위한 최소한의 생각,"신영준 ,  고영성  저",상상스퀘어,2026년 02월,"17,820원",9.6,120,309213,https://www.yes24.com/product/goods/177044720
2025,12,국내도서 전체,7,구멍청,백희나  글그림,스토리보울,2026년 05월,"15,300원",9.2,25,95457,https://www.yes24.com/product/goods/188721090
2025,12,국내도서 전체,8,21세기 대군부인 대본집 세트,유지원  저,스튜디오오드리,2026년 05월,"54,000원",9.8,36,144297,https://www.yes24.com/product/goods/188860912
2025,12,국내도서 전체,9,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성  저,이투스북,2025년 12월,"16,650원",9.9,64,397683,https://www.yes24.com/product/goods/167466432
2025,12,국내도서 전체,10,바다에서 온 소년,개럿 카  저/ 이은선  역,북파머스,2026년 04월,"17,820원",9.6,36,78414,https://www.yes24.com/product/goods/183199243
2025,12,국내도서 전체,11,품격 있는 대화를 위한 지식 브리핑,김진  저,북플레저,2026년 04월,"22,500원",,0,163380,https://www.yes24.com/product/goods/189116661
2025,12,국내도서 전체,12,2026 선재국어 최우선 봉투 모의고사,이선재  편저,수비니겨,2026년 04월,"22,500원",9.8,91,181329,https://www.yes24.com/product/goods/185676025
2025,12,국내도서 전체,13,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성  저,이투스북,2025년 12월,"17,100원",9.8,89,425346,https://www.yes24.com/product/goods/167466420
2025,12,국내도서 전체,14,모순,양귀자  저,쓰다,2013년 04월,"11,700원",9.6,2035,467991,https://www.yes24.com/product/goods/8759796
2025,12,국내도서 전체,15,내면 근력,짐 머피  저/ 지여울  역,윌북(willbook),2026년 04월,"19,800원",9.9,59,87186,https://www.yes24.com/product/goods/183809488
2025,12,국내도서 전체,16,타몬 군 지금 어느 쪽?! 12,시와스 유키  글그림,학산문화사,2026년 05월,"5,400원",,0,74220,https://www.yes24.com/product/goods/189186704
2025,12,국내도서 전체,17,쿡연주의 달콤한 다이어트 레시피,국연주  저,한빛라이프,2026년 05월,"20,700원",9.4,10,25830,https://www.yes24.com/product/goods/185836150
2025,12,국내도서 전체,18,완벽한 원시인,자청  저,필로틱,2026년 03월,"19,800원",9.4,178,194091,https://www.yes24.com/product/goods/180137091
